event_id,op_name,op_count,flops,inp_shapes
15,aten::add,25,1478400,[[1, 77, 768], [1, 77, 768], []]
21,aten::add,1,77,[[77], [], []]
33,aten::layer_norm,25,0,[[1, 77, 768], [], [768], [768], [], []]
41,aten::addmm,48,4359979008,[[768], [77, 768], [768, 768], [], []]
46,aten::mul,12,709632,[[1, 77, 768], []]
60,aten::bmm,12,109283328,[[12, 77, 64], [12, 64, 77]]
64,aten::add,12,853776,[[1, 12, 77, 77], [1, 1, 77, 77], []]
66,aten::softmax,12,0,[[12, 77, 77], [], []]
69,aten::bmm,12,109283328,[[12, 77, 77], [12, 77, 64]]
83,aten::addmm,12,4359979008,[[3072], [77, 768], [768, 3072], [], []]
89,aten::mul,12,2838528,[[1, 77, 3072], []]
91,aten::mul,12,2838528,[[1, 77, 3072], [1, 77, 3072]]
98,aten::addmm,12,4359979008,[[768], [77, 3072], [3072, 768], [], []]


aten::add: 2332253
aten::addmm: 13079937024
aten::mul: 6386688
aten::bmm: 218566656
Total GOPs: 13.307222621000001

aten::layer_norm: 25
aten::softmax: 12
